"Notes"	"Census Region"	"Census Region Code"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2020"	"2020"	60	196136	30.6	23.3	39.4
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2021"	"2021"	67	204578	32.8	25.4	41.6
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2022"	"2022"	65	208838	31.1	24.0	39.7
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2023"	"2023"	49	216591	22.6	16.7	29.9
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"2024 "	"2024"	65	243714	26.7	20.6	34.0
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"			306	1069857	28.6	25.4	31.8
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2020"	"2020"	89	201143	44.2	35.5	54.5
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2021"	"2021"	81	211517	38.3	30.4	47.6
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2022"	"2022"	96	216225	44.4	36.0	54.2
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2023"	"2023"	82	223279	36.7	29.2	45.6
	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"2024 "	"2024"	96	252293	38.1	30.8	46.5
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"			444	1104457	40.2	36.5	43.9
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"American Indian or Alaska Native"	"1002-5"					750	2174314	34.5	32.0	37.0
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Female"	"F"	"2020"	"2020"	1593	2069150	77.0	73.2	80.8
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Female"	"F"	"2021"	"2021"	1419	2136178	66.4	63.0	69.9
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Female"	"F"	"2022"	"2022"	1556	2188399	71.1	67.6	74.6
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Female"	"F"	"2023"	"2023"	1479	2220190	66.6	63.2	70.0
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Female"	"F"	"2024 "	"2024"	1515	2362877	64.1	60.9	67.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Female"	"F"			7562	10976794	68.9	67.3	70.4
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Male"	"M"	"2020"	"2020"	2041	1918631	106.4	101.8	111.0
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Male"	"M"	"2021"	"2021"	1723	2001737	86.1	82.0	90.1
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Male"	"M"	"2022"	"2022"	1907	2058264	92.7	88.5	96.8
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Male"	"M"	"2023"	"2023"	1850	2071784	89.3	85.2	93.4
	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Male"	"M"	"2024 "	"2024"	1939	2201058	88.1	84.2	92.0
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"	"Male"	"M"			9460	10251474	92.3	90.4	94.1
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Asian"	"A"					17022	21228268	80.2	79.0	81.4
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Female"	"F"	"2020"	"2020"	8160	3953130	206.4	201.9	210.9
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Female"	"F"	"2021"	"2021"	6897	4047889	170.4	166.4	174.4
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Female"	"F"	"2022"	"2022"	6966	4065267	171.4	167.3	175.4
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Female"	"F"	"2023"	"2023"	6513	4075043	159.8	155.9	163.7
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"Female"	"F"	"2024 "	"2024"	6758	4176794	161.8	157.9	165.7
